listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
199733,2025-04-01,30,0,0.0,0.0,132.0,,,,30,,132.0,0.0
199733,2025-05-01,31,0,0.0,0.0,138.3,,,,30,,138.0,0.0
199733,2025-06-01,30,0,0.0,0.0,136.6,,,,30,,137.0,0.0
199733,2025-07-01,31,0,0.0,0.0,136.7,,,,30,,137.0,0.0
199733,2025-08-01,31,0,0.0,0.0,135.7,,,,30,,136.0,0.0
199733,2025-09-01,16,14,0.467,1867.0,131.1,133.4,17,46,30,133.0,131.0,1867.0
199733,2025-10-01,0,31,1.0,4136.0,133.4,133.4,,,30,133.0,133.0,4136.0
199733,2025-11-01,29,1,0.033,132.0,129.0,132.0,,,30,132.0,129.0,132.0
199733,2025-12-01,31,0,0.0,0.0,132.0,,,,30,,132.0,0.0
199733,2026-01-01,31,0,0.0,0.0,134.4,,,,30,,134.0,0.0
199733,2026-02-01,28,0,0.0,0.0,134.5,,,,30,,135.0,0.0
199733,2026-03-01,31,0,0.0,0.0,134.8,,,,30,,135.0,0.0
151199,2025-04-01,30,0,0.0,0.0,165.8,,,,2,,166.0,0.0
151199,2025-05-01,31,0,0.0,0.0,183.8,,,,2,,184.0,0.0
151199,2025-06-01,18,12,0.4,2270.0,196.0,189.2,3,9,2,189.0,196.0,2270.0
151199,2025-07-01,9,22,0.71,4232.0,189.5,192.4,14,10,2,192.0,190.0,4232.0
151199,2025-08-01,4,27,0.871,5880.0,217.5,217.8,20,7,2,218.0,218.0,5880.0
151199,2025-09-01,1,29,0.967,7249.0,249.4,250.0,35,5,2,250.0,249.0,7249.0
151199,2025-10-01,1,30,0.968,7847.0,261.5,261.6,45,4,2,262.0,262.0,7847.0
151199,2025-11-01,10,20,0.667,6236.0,310.1,311.8,33,2,1,312.0,310.0,6236.0
151199,2025-12-01,3,28,0.903,9915.0,357.9,354.1,47,2,1,354.0,358.0,9915.0
151199,2026-01-01,8,23,0.742,4584.0,198.9,199.3,54,2,2,199.0,199.0,4584.0
151199,2026-02-01,13,15,0.536,3391.0,223.1,226.1,28,2,1,226.0,223.0,3391.0
151199,2026-03-01,15,16,0.516,3610.0,236.0,225.6,67,3,1,226.0,236.0,3610.0
57874,2025-04-01,10,20,0.667,2451.0,122.4,122.5,240,20,30,123.0,122.0,2451.0
57874,2025-05-01,31,0,0.0,0.0,123.4,,,,30,,123.0,0.0
57874,2025-06-01,30,0,0.0,0.0,119.9,,,,30,,120.0,0.0
57874,2025-07-01,26,5,0.161,625.0,121.2,125.0,191,30,30,125.0,121.0,625.0
57874,2025-08-01,0,31,1.0,3857.0,124.4,124.4,31,6,30,124.0,124.0,3857.0
57874,2025-09-01,0,30,1.0,3682.0,122.7,122.7,70,16,30,123.0,123.0,3682.0
57874,2025-10-01,2,29,0.935,3517.0,122.0,121.3,70,26,30,121.0,122.0,3517.0
57874,2025-11-01,10,20,0.667,2440.0,123.4,122.0,48,30,30,122.0,123.0,2440.0
57874,2025-12-01,21,10,0.323,1254.0,123.1,125.4,,,30,125.0,123.0,1254.0
57874,2026-01-01,31,0,0.0,0.0,128.2,,,,30,,128.0,0.0
57874,2026-02-01,28,0,0.0,0.0,134.1,,,,30,,134.0,0.0
57874,2026-03-01,31,0,0.0,0.0,136.4,,,,30,,136.0,0.0
849603,2025-04-01,30,0,0.0,0.0,98.2,,,,32,,98.0,0.0
849603,2025-05-01,31,0,0.0,0.0,95.9,,,,32,,96.0,0.0
849603,2025-06-01,30,0,0.0,0.0,99.2,,,,32,,99.0,0.0
849603,2025-07-01,31,0,0.0,0.0,101.3,,,,31,,101.0,0.0
849603,2025-08-01,31,0,0.0,0.0,99.9,,,,30,,100.0,0.0
849603,2025-09-01,19,11,0.367,1093.0,99.2,99.4,1,11,30,99.0,99.0,1093.0
849603,2025-10-01,26,5,0.161,501.0,99.5,100.2,43,5,30,100.0,100.0,501.0
849603,2025-11-01,30,0,0.0,0.0,110.2,,,,30,,110.0,0.0
849603,2025-12-01,31,0,0.0,0.0,112.5,,,,30,,113.0,0.0
849603,2026-01-01,31,0,0.0,0.0,111.0,,,,30,,111.0,0.0
849603,2026-02-01,28,0,0.0,0.0,111.2,,,,30,,111.0,0.0
849603,2026-03-01,31,0,0.0,0.0,112.5,,,,30,,113.0,0.0
