listing_id,date,num_reviews,reviewers
57166,2025-09-01,1,27121818
57166,2025-07-01,1,589242049
57166,2025-04-01,1,350168583
267652,2025-10-01,1,459326508
267652,2025-06-01,1,42364513
199733,2025-11-01,1,157857890
453094,2026-03-01,1,59664560
453094,2025-11-01,4,"298657322,171771247,725797179,117471221"
453094,2025-07-01,3,"192341146,345631660,526831646"
453094,2026-02-01,3,"216776462,698808779,556283650"
453094,2025-10-01,4,"169722546,256065483,83101167,4388116"
453094,2025-06-01,3,"32982999,18179420,1521060"
453094,2026-01-01,1,87644710
453094,2025-09-01,4,"517378647,716776603,165287112,91888441"
453094,2025-05-01,4,"41257192,59485402,237346750,120160932"
453094,2025-12-01,3,"728761753,32302456,18566531"
453094,2025-08-01,3,"203681344,74307436,142754759"
453094,2025-04-01,2,"338153295,269322561"
151199,2025-11-01,4,"102386123,55669867,372171426,83616826"
151199,2025-07-01,2,"67146710,332673584"
151199,2025-10-01,3,"47619992,204002437,130052563"
151199,2025-06-01,2,"127207678,340851549"
151199,2026-02-01,3,"482260088,302331291,447513431"
151199,2025-09-01,5,"71216025,9852002,147125710,9021333,62099821"
151199,2025-05-01,2,"458435896,298931481"
151199,2026-01-01,4,"279236195,354532068,128113958,258034899"
151199,2025-12-01,4,"38738135,332626128,56127341,6587193"
151199,2025-08-01,3,"66190077,61249468,161752629"
151199,2025-04-01,2,"60944112,77851859"
57874,2025-10-01,1,124990825
57874,2025-08-01,1,58458892
849603,2025-09-01,1,352291687
507393,2025-11-01,1,668152848
507393,2025-09-01,1,349095662
507393,2025-05-01,1,598032018
1278784,2025-11-01,1,545228837
1278784,2025-05-01,1,260541896
1278784,2025-10-01,1,116638419
1278784,2025-06-01,1,527562306
1278784,2025-12-01,1,488986371
1278784,2026-02-01,1,685005508
817113,2025-08-01,1,689251732
819206,2025-09-01,1,583622077
819206,2025-06-01,1,264130540
819206,2025-04-01,1,679412387
333323,2025-08-01,1,677983063
417685,2025-07-01,1,203801354
417685,2025-10-01,1,94268987
417685,2025-05-01,1,233895255
417685,2025-04-01,1,1142589
1027808,2025-07-01,1,1665608
1027808,2025-10-01,1,8539684
1057022,2025-08-01,1,81451693
773885,2025-08-01,1,704533875
773885,2025-06-01,1,43003062
773885,2025-04-01,1,19980246
232612,2025-07-01,1,303975223
232612,2025-11-01,3,"440953392,381240902,63508658"
232612,2026-03-01,2,"561704605,31407697"
232612,2025-06-01,4,"98790527,136942984,269550869,231960993"
232612,2025-10-01,6,"683475905,586533505,73803231,503316802,453404018,573213075"
232612,2026-02-01,4,"594640209,178871450,742690599,177068823"
232612,2025-05-01,5,"5123070,668922653,4687485,9623024,37259057"
232612,2025-09-01,2,"310997499,205778478"
232612,2026-01-01,3,"715006853,234797707,9266665"
232612,2025-12-01,1,727422289
232612,2025-08-01,3,"505698997,686114613,380521691"
232612,2025-04-01,1,99182288
12940,2025-11-01,1,12635950
12940,2025-05-01,1,353701095
148825,2025-11-01,1,279468821
148825,2025-07-01,1,697564392
148825,2025-09-01,1,540088610
148825,2025-05-01,1,5403850
148825,2026-01-01,1,207119909
1326566,2025-11-01,1,77896802
1326566,2025-06-01,1,62557113
1326566,2026-02-01,1,428030610
651375,2025-06-01,1,24692389
651375,2025-04-01,1,391037914
651375,2025-12-01,1,478159
651375,2025-10-01,1,1665608
651375,2026-02-01,1,738948895
765569,2025-09-01,1,583771731
765569,2025-07-01,2,"35443196,172151441"
765569,2025-05-01,2,"198098211,51965833"
387666,2025-08-01,1,103451463
298759,2025-08-01,1,371345946
298759,2025-05-01,1,67261956
298759,2026-01-01,1,468371390
921500,2025-05-01,1,10537653
1210916,2025-05-01,1,6229865
1210916,2025-04-01,1,4725218
773041,2025-04-01,1,425372506
182069,2025-07-01,1,441066313
182069,2025-09-01,1,213987330
182069,2025-12-01,1,143514247
12937,2025-11-01,4,"351352424,409860508,14246400,418943509"
12937,2025-07-01,2,"30547116,76647835"
12937,2025-06-01,4,"494166212,180231216,696373776,431766937"
12937,2025-10-01,2,"80801857,6082419"
12937,2026-02-01,1,511790126
12937,2025-05-01,2,"11672218,415900997"
12937,2025-09-01,3,"31074643,9833586,30131725"
12937,2026-01-01,1,234932318
12937,2025-12-01,2,"22812719,253358336"
12937,2025-08-01,2,"316610623,184170245"
12937,2025-04-01,2,"29370158,61243616"
777327,2025-12-01,1,27245833
777327,2025-09-01,1,41589530
777327,2025-05-01,1,318767564
777327,2025-04-01,1,111795330
838070,2025-09-01,1,384130355
825129,2025-07-01,1,130498199
825129,2025-05-01,1,652703365
938022,2025-11-01,2,"492097642,5641727"
938022,2025-07-01,2,"32572910,256242229"
938022,2025-12-01,1,264697663
938022,2025-06-01,1,8248240
852118,2025-09-01,1,7612551
852118,2025-05-01,1,332946211
82638,2025-05-01,1,13866269
82638,2025-08-01,1,140729043
318021,2025-11-01,1,467863905
318021,2025-09-01,1,66929424
318021,2025-05-01,1,99090373
318021,2025-08-01,1,84211296
318021,2025-06-01,1,541464400
318021,2025-04-01,1,971849
75635,2025-12-01,1,37440976
75635,2025-08-01,1,510604242
152263,2025-11-01,4,"85900007,672973032,597394423,239056304"
152263,2025-07-01,2,"5002422,353292305"
152263,2025-10-01,1,705798726
152263,2025-06-01,3,"77943589,448492041,504352964"
152263,2026-01-01,1,488068156
152263,2025-09-01,3,"404075000,452526842,317894800"
152263,2025-05-01,3,"100835357,137826540,17903"
152263,2025-08-01,1,270742209
152263,2025-04-01,4,"33089954,13167788,34693124,397292349"
386744,2025-07-01,1,7775119
890839,2025-05-01,1,250840222
113265,2025-11-01,1,7707386
113265,2025-10-01,1,265279696
113265,2025-06-01,1,677705907
113265,2025-08-01,1,594652435
543792,2025-05-01,1,51463069
543792,2025-10-01,1,705721198
54860,2025-11-01,1,356460500
54860,2025-06-01,1,457000608
54860,2025-09-01,1,124767307
77765,2025-05-01,1,28696022
77765,2025-09-01,1,588568700
77765,2025-10-01,1,16810210
748118,2026-01-01,1,120415100
748118,2025-11-01,1,140659036
748118,2025-09-01,3,"1558264,339047710,34148684"
748118,2025-05-01,2,"108611928,7833046"
748118,2025-07-01,1,6119021
748118,2025-12-01,2,"192361874,722870257"
748118,2025-10-01,2,"353220322,57555133"
748118,2025-08-01,3,"23352466,66968165,670568634"
748118,2025-06-01,1,6257521
606269,2025-11-01,1,65293394
606269,2025-07-01,1,9189690
606269,2025-05-01,1,9429539
606269,2025-12-01,1,75482360
606269,2025-10-01,1,2184920
606269,2025-08-01,1,17691544
982038,2025-04-01,1,671211473
896535,2025-11-01,1,71487408
896535,2025-08-01,1,183457001
896535,2025-06-01,1,68491612
896535,2025-04-01,1,57074934
804194,2026-03-01,2,"18851505,5581907"
804194,2026-01-01,2,"483109802,722118588"
